AccountID,CustomerID,AccountType,Balance,Currency,Status,BranchID,CreatedDate
1,762,Business,61559.23,EUR,Closed,15,4/29/2025
2,918,Business,102075.53,GBP,Closed,19,11/30/2020
3,61,Savings,35253.06,USD,Closed,9,9/3/2021
4,41,Business,104862.01,EUR,Suspended,10,6/14/2023
5,440,Savings,65589.5,UZS,Closed,15,7/3/2023
6,504,Savings,72248.25,EUR,Closed,5,8/29/2023
7,116,Savings,122329.48,GBP,Closed,14,7/19/2023
8,560,Savings,26528.34,USD,Closed,13,4/29/2020
9,771,Savings,150253.34,UZS,Closed,7,12/30/2021
10,472,Business,175838.74,GBP,Closed,16,6/4/2020
11,291,Business,113087.97,GBP,Active,20,5/17/2022
12,824,Savings,33701.07,USD,Closed,11,10/23/2020
13,188,Checking,58868.43,UZS,Active,9,4/28/2023
14,903,Business,139346.67,UZS,Suspended,19,5/23/2023
15,633,Checking,48905.46,USD,Suspended,5,11/17/2025
16,346,Business,53130.38,USD,Active,20,11/1/2024
17,159,Business,82033.27,GBP,Suspended,19,11/11/2021
18,708,Savings,171855.76,EUR,Active,4,4/25/2022
19,185,Savings,51046.02,GBP,Closed,17,1/27/2022
20,518,Savings,111120.44,UZS,Closed,6,11/25/2024
21,887,Savings,38508.51,USD,Suspended,5,12/20/2024
22,476,Business,77589.09,UZS,Closed,8,3/12/2021
23,573,Business,88192.98,EUR,Active,13,12/20/2025
24,882,Checking,73169.64,USD,Active,4,6/20/2023
25,94,Savings,182138.18,GBP,Active,12,1/27/2023
26,424,Business,62436.65,UZS,Closed,19,10/22/2020
27,941,Savings,91182.54,USD,Closed,14,12/21/2025
28,351,Checking,34271.2,USD,Suspended,12,2/21/2025
29,573,Business,51113.03,GBP,Closed,12,12/21/2022
30,777,Business,189274.61,USD,Suspended,18,9/14/2022
31,910,Checking,134960.69,EUR,Active,1,7/20/2022
32,272,Savings,88943.77,GBP,Active,18,9/14/2023
33,137,Checking,78685.21,GBP,Closed,13,11/10/2022
34,126,Business,112652.87,UZS,Suspended,20,10/8/2022
35,395,Savings,63053.08,EUR,Closed,9,10/9/2020
36,898,Business,44093.49,UZS,Closed,15,7/17/2024
37,936,Checking,84822.36,USD,Suspended,9,8/3/2022
38,732,Business,192645.75,GBP,Active,16,7/25/2021
39,212,Savings,175934.52,USD,Active,16,8/23/2020
40,804,Business,158362.3,UZS,Suspended,6,2/7/2021
41,225,Savings,114733.39,GBP,Active,13,9/3/2024
42,412,Checking,173275.41,USD,Closed,5,11/2/2024
43,632,Business,38584.26,UZS,Active,13,3/31/2020
44,505,Business,63313.69,EUR,Closed,7,3/1/2022
45,628,Savings,5433.86,EUR,Active,3,8/26/2020
46,318,Business,150560.64,EUR,Closed,2,5/8/2021
47,333,Business,191789,EUR,Suspended,8,12/27/2021
48,720,Checking,93932.98,GBP,Suspended,17,2/24/2022
49,758,Savings,84096.05,USD,Closed,1,12/16/2022
50,627,Business,13980.37,GBP,Suspended,12,2/28/2024
51,200,Business,154214.9,EUR,Active,10,8/23/2025
52,652,Savings,119890.42,UZS,Active,1,2/27/2023
53,97,Savings,33819.05,UZS,Closed,6,2/19/2020
54,702,Business,99024.02,UZS,Suspended,12,8/6/2020
55,829,Business,41297.96,GBP,Suspended,11,12/4/2025
56,824,Business,190887.83,USD,Active,4,3/2/2023
57,149,Checking,58358.61,EUR,Closed,1,4/12/2020
58,25,Checking,91517.69,GBP,Suspended,18,9/26/2025
59,771,Business,147697.72,UZS,Closed,14,2/9/2023
60,745,Checking,74028.62,UZS,Suspended,14,10/20/2024
61,811,Checking,30427.47,GBP,Active,5,3/29/2020
62,421,Checking,195310.98,GBP,Closed,8,1/30/2023
63,920,Savings,128858.79,USD,Active,9,12/13/2023
64,235,Checking,62340.48,USD,Closed,8,9/12/2024
65,838,Savings,24072.32,EUR,Suspended,10,7/30/2021
66,758,Business,68336.82,USD,Active,1,2/20/2024
67,661,Savings,52702.2,USD,Closed,8,6/3/2022
68,633,Checking,11577.08,GBP,Active,13,11/4/2023
69,298,Checking,100010.32,USD,Closed,12,2/10/2021
70,138,Checking,155215.69,GBP,Closed,5,12/11/2025
71,848,Savings,75012.81,GBP,Suspended,17,8/28/2022
72,401,Checking,58988.13,UZS,Closed,10,10/24/2022
73,221,Savings,143873.89,USD,Suspended,10,1/10/2024
74,785,Checking,60747.63,USD,Active,20,10/25/2024
75,114,Business,136663.14,UZS,Closed,10,7/6/2022
76,731,Checking,46139.37,GBP,Active,12,8/15/2022
77,389,Business,147364.67,UZS,Active,1,8/6/2022
78,336,Business,9035.66,GBP,Suspended,9,9/21/2025
79,819,Checking,179078.74,USD,Suspended,3,2/13/2023
80,716,Checking,148964.08,USD,Active,18,3/17/2021
81,341,Business,111590.58,GBP,Active,2,2/16/2025
82,924,Savings,135835.36,UZS,Suspended,6,1/18/2022
83,783,Business,93154.36,GBP,Suspended,18,4/12/2020
84,130,Checking,109326.24,GBP,Active,6,5/24/2022
85,958,Business,135266.34,USD,Closed,17,3/12/2022
86,71,Savings,507.43,UZS,Active,11,11/3/2024
