MobileTransID,CustomerID,DeviceID,AppVersion,TransactionType,Amount,Date
1,915,OS94FDLW,2,Payment,9175,6/17/2025
2,435,7STD8Z2U,1.2,Payment,8788,1/27/2025
3,457,SBZTGHXA,1,Transfer,1750,12/29/2025
4,513,FUMJ6DLG,1,Transfer,12651,9/29/2025
5,219,0O3BRGD2,1.2,Deposit,16709,7/20/2025
6,576,B4KZOUYJ,1.1,Transfer,5745,12/23/2025
7,250,HBDTX26L,1.1,Payment,17721,1/1/2025
8,398,JRWOEX5T,1,Transfer,15869,5/27/2025
9,495,PFR0XVBW,1,Payment,8,4/7/2025
10,876,XTK8JWUC,1,Deposit,4049,1/10/2025
11,471,1LIO03TW,1.2,Payment,1255,9/18/2025
12,927,MVC7BFNY,1.2,Payment,17866,7/5/2025
13,375,YWKUM09S,1,Payment,6657,4/25/2025
14,157,VCWY07LT,1.1,Transfer,11074,4/3/2025
15,590,Q8592WNO,1.1,Deposit,10062,2/23/2025
16,288,TLGK5ARJ,1.1,Deposit,3190,7/21/2025
17,83,I0OPYK5A,1.1,Payment,5968,12/27/2025
18,89,C6N8T9I4,1.1,Payment,13618,6/16/2025
19,231,ZLBJYRTC,1.1,Payment,1311,1/31/2025
20,86,PCML3IHV,1.1,Payment,8430,5/8/2025
21,526,6KZAH41I,1,Payment,9293,1/7/2025
22,846,JHD691OY,1.1,Deposit,17292,8/17/2025
23,875,UASZFBLQ,1,Deposit,8078,4/9/2025
24,499,XAJ5WH2G,1.2,Transfer,19952,10/4/2025
25,87,CVR75DPI,1.1,Transfer,936,6/8/2025
26,839,31OIY2ZG,1,Transfer,18630,12/22/2025
27,771,WNQJ1KUT,2,Transfer,10902,2/27/2025
28,535,8VE6FRSP,1.1,Payment,7070,6/27/2025
29,447,B53TH8GO,1,Transfer,15693,5/11/2025
30,634,MP7FT40Y,1,Transfer,16060,5/12/2025
31,475,0EC8S7VG,1,Deposit,6046,9/23/2025
32,642,G5N9U2RQ,2,Deposit,3130,7/8/2025
33,852,B4HA9SVT,2,Deposit,15673,11/16/2025
34,399,T39MRHQF,1,Payment,6101,5/24/2025
35,233,X5UPV7N3,1.1,Transfer,6093,4/30/2025
36,592,JT9NHB5G,2,Deposit,12087,4/4/2025
37,978,LWUIOXVM,1,Payment,2525,5/13/2025
38,636,3VEWN4FJ,1,Transfer,12414,11/21/2025
39,341,E9JOR8VD,1,Transfer,8305,8/3/2025
40,5,R5B2HLOK,1.2,Deposit,11508,2/2/2025
41,641,2OFGDKLJ,1,Deposit,12706,2/19/2025
42,649,DCSWY6XF,1.2,Deposit,4563,4/10/2025
43,868,G2708AOH,1,Deposit,8241,12/20/2025
44,574,JV03I2M8,1.2,Transfer,7731,7/5/2025
45,163,NK682LRI,1.2,Deposit,17967,2/26/2025
46,546,9JIFK3UR,1,Payment,14337,10/10/2025
47,652,E40ZC18K,1,Deposit,16206,10/31/2025
48,501,493NSDA7,1,Payment,1690,6/23/2025
49,82,F0SME54O,1.1,Payment,49,7/2/2025
50,519,I5QU1YRL,1,Deposit,2726,7/22/2025
51,518,ZKJ321S8,1.2,Deposit,14109,9/16/2025
52,285,RH76M5KJ,2,Transfer,19524,3/5/2025
53,539,GDOLNY2T,2,Deposit,7260,9/19/2025
54,650,VLZ4E9JI,1,Transfer,5398,10/16/2025
55,587,L0D56M9A,2,Deposit,1865,12/12/2025
56,809,Q7C3YT0J,2,Transfer,18657,5/5/2025
57,466,MJ7H1YQD,2,Transfer,5515,8/16/2025
58,77,EJCWK23R,1,Transfer,17764,2/18/2025
59,315,6LGUXS85,1.1,Payment,18256,10/2/2025
60,716,2PN3IUH9,1.1,Transfer,6262,3/31/2025
61,637,9JVXNWHF,1,Payment,4535,10/29/2025
62,148,PUS0CMQI,1.1,Deposit,7686,3/3/2025
63,175,6P980ZL1,1.2,Transfer,16509,2/12/2025
64,813,WJ3UX1FV,1.2,Transfer,17025,4/5/2025
65,513,24DW6BPM,1.2,Payment,2220,9/11/2025
66,403,1SJ8H90X,1,Deposit,7615,1/6/2025
67,254,TDGFQY95,1,Payment,13904,6/18/2025
68,655,4OYJHCLV,1.2,Transfer,4498,2/16/2025
69,98,VBOFLW28,1,Transfer,1147,5/13/2025
70,150,N9OSX3AD,1,Deposit,1101,1/11/2025
71,2,BVPW13C2,1,Deposit,4805,3/31/2025
72,200,HDPXM8CI,2,Transfer,19568,12/26/2025
73,378,BFHUVS3O,1.2,Deposit,12895,1/9/2025
74,141,GNRO0LP7,1,Payment,4065,9/18/2025
75,250,81MLVE3B,2,Payment,12367,12/28/2025
76,924,KANRGLPC,1,Deposit,10132,1/6/2025
77,724,9GLRIK4D,1.2,Deposit,12408,2/11/2025
78,404,VGUP5L19,1,Deposit,18782,7/22/2025
79,32,6M0DJPLY,1.1,Deposit,2820,1/15/2025
80,774,HMZ4VGAR,2,Transfer,8283,5/10/2025
81,526,DAPFMCGJ,2,Deposit,13621,12/18/2025
82,859,AVZX28GR,2,Deposit,8658,10/5/2025
83,792,2GCIBR6H,2,Deposit,8396,11/20/2025
84,718,IW6B73TE,1.1,Transfer,1213,9/11/2025
85,193,RFCD7261,2,Transfer,13147,6/25/2025
86,996,9PAE0ZR8,1.2,Transfer,17402,8/28/2025
87,285,93OL5UZG,1,Payment,10546,7/4/2025
88,179,SJ5APMW7,1.1,Payment,10811,12/14/2025
89,837,HJZ9S0IR,1.1,Payment,1597,1/8/2025
90,231,IM65VB74,1.2,Transfer,3677,1/6/2025
91,665,0XQTYK9G,1.1,Payment,8362,12/21/2025
92,153,ZMNJ1EFL,2,Deposit,14131,7/17/2025
93,13,68PDGY05,2,Payment,8096,5/5/2025
94,39,IWGJQ8E5,1,Deposit,2785,5/3/2025
95,294,9Z7COBNY,1,Transfer,14011,4/2/2025
96,858,61ZWP7KL,1.1,Payment,14282,2/21/2025
97,670,9Q0DN5VT,1,Deposit,122,11/1/2025
98,937,ZIOQ5E2N,1.2,Payment,10081,10/27/2025
99,207,V3B9MFZ0,2,Transfer,18632,3/17/2025
100,869,SURM7YG8,1.1,Payment,5976,10/11/2025
101,532,QVYFX47K,1.1,Transfer,9812,3/28/2025
102,535,SRG0NU42,1,Transfer,17739,7/8/2025
103,726,QBUFCOI8,2,Deposit,12429,5/12/2025
104,302,ENFP75WQ,1,Payment,16457,4/8/2025
105,10,AYIUJKLB,1,Payment,850,8/20/2025
106,860,KM0JYGB5,1.2,Deposit,11145,1/26/2025
107,578,DRG42TMZ,1.1,Transfer,6706,6/27/2025
108,172,ALO6B47Z,2,Transfer,13520,10/13/2025
109,525,OH0X6RGM,1.1,Deposit,303,1/22/2025
110,924,6YVQ4T0I,1.2,Payment,10194,10/1/2025
111,987,4W7AP3CH,1.2,Payment,13476,12/8/2025
112,271,MZJSQUHA,1.1,Payment,6920,12/16/2025
113,551,TWRVOM29,1.1,Payment,19498,2/17/2025
114,768,L1NKHSTG,1.1,Payment,1921,6/25/2025
115,415,Z9C68APU,1.2,Payment,19052,8/4/2025
116,1,JL0NVAW1,1.1,Deposit,9397,11/2/2025
117,102,VRXCJ7GF,1.1,Deposit,1076,8/30/2025
118,494,KFJNCWH1,1.1,Payment,3407,3/13/2025
119,349,J1UQ69RW,2,Payment,6362,10/8/2025
120,75,TGPH0KAV,1.1,Transfer,17076,5/18/2025
121,682,CBVK6L7O,2,Payment,5753,11/2/2025
122,73,9OA3TGQ2,1.1,Deposit,8352,10/2/2025
123,264,C5NRWEPI,1.1,Payment,10408,4/18/2025
124,831,95OZHGEB,1.2,Payment,7705,4/2/2025
125,707,1X356NMI,2,Transfer,6493,1/5/2025
126,753,TD2EP5R8,1.2,Deposit,17172,4/30/2025
127,66,52QJ4IHW,2,Deposit,16356,5/22/2025
128,532,S5IN761T,1.1,Transfer,15204,4/8/2025
129,265,ZO4DAUKE,2,Payment,4482,3/3/2025
130,931,30OCEDK7,1,Deposit,4677,3/9/2025
131,773,1CFO4HYQ,1.1,Transfer,6658,4/22/2025
132,664,Q6JLDTPG,1,Deposit,16473,12/19/2025
133,870,ZB7I3WVQ,2,Transfer,11862,1/30/2025
134,456,H12K3QJ8,1,Transfer,11135,8/8/2025
135,702,SI0ZQDC4,1,Payment,13207,11/2/2025
136,306,VFLXSKUA,1,Transfer,6727,6/6/2025
137,695,I629B1Z5,1,Deposit,19548,3/27/2025
138,774,7XUDRVQA,1.1,Payment,6180,10/6/2025
139,891,XVUECZ24,2,Transfer,18664,5/4/2025
140,844,IQADXYKB,2,Deposit,5388,12/17/2025
141,585,PBGZALWV,1.2,Payment,10672,1/1/2025
142,146,49RJ1PTF,1,Transfer,9215,1/19/2025
143,847,XMH1W3YO,1.2,Deposit,5834,9/10/2025
144,221,IU96C2KA,2,Payment,7661,1/15/2025
145,181,2GWCZ0LF,1.1,Deposit,13515,5/29/2025
