MobileTransID,CustomerID,DeviceID,AppVersion,TransactionType,Amount,Date
1,582,I5R6DVGB,1.1,Payment,13666,3/19/2025
2,568,O2RXUQDN,1.1,Deposit,2102,12/21/2025
3,405,RW7YNEJO,1,Transfer,6601,3/22/2025
4,490,1SB7THEP,1.2,Payment,9380,6/24/2025
5,684,98LDO25P,1.1,Deposit,12709,8/27/2025
6,98,MN5H97UW,2,Transfer,6440,1/25/2025
7,459,IARSC4JY,1.2,Payment,13420,12/13/2025
8,784,T6B47IRP,2,Deposit,12674,11/3/2025
9,484,CS8J3Q4Y,1.1,Deposit,5514,1/19/2025
10,63,VMAPKZ86,1.2,Transfer,179,9/12/2025
11,771,7RLIMEQG,1,Payment,9409,11/5/2025
12,550,092PQT4U,1.2,Deposit,6310,1/28/2025
13,105,CUB62AJT,2,Transfer,3827,11/26/2025
14,636,8UZAXJSH,1.1,Payment,3786,7/25/2025
15,119,7M0EPBOZ,1,Payment,16309,2/6/2025
16,663,FGK9NUSZ,1.2,Deposit,9371,8/17/2025
17,322,GPHFK5ZN,1,Payment,11119,2/4/2025
18,553,O2LDSKAM,1.1,Transfer,16780,10/10/2025
19,533,KBFWEQYH,2,Payment,11475,11/3/2025
20,665,SHPIG4XJ,2,Payment,10144,12/13/2025
21,201,RYSFENVZ,1.1,Payment,5080,3/16/2025
22,292,8MBPZC74,1,Deposit,5370,3/31/2025
23,387,BFYIA2RH,1.1,Transfer,6013,1/17/2025
24,632,8GX935HZ,1,Deposit,12661,11/9/2025
25,884,MBPY0T7I,1.1,Deposit,8015,11/9/2025
26,815,70DU16GQ,1,Transfer,11422,7/22/2025
27,390,7JD1IHNR,1.2,Payment,5949,7/6/2025
28,775,8Q0GPDT7,1.1,Transfer,3060,11/13/2025
29,492,MAV4O7S8,1.1,Transfer,18722,12/28/2025
30,420,HI2G4FCO,1,Transfer,5979,1/27/2025
31,128,Y97XG3H0,1,Transfer,11077,4/8/2025
32,26,42YJGNPF,1.1,Payment,5280,2/4/2025
33,328,1WUBCH38,1.2,Deposit,6641,8/3/2025
34,841,94YO5WHR,1.1,Payment,18209,4/17/2025
35,572,8TC0E7JS,2,Transfer,482,2/2/2025
36,682,18AQFBT4,1.1,Transfer,1642,2/20/2025
37,519,8EUN6H7R,1.1,Payment,9444,4/21/2025
38,949,A43VLZNY,2,Payment,467,1/25/2025
39,260,ZHDF8BIG,1.1,Payment,5212,6/20/2025
40,465,235AMGZX,1.1,Deposit,14226,6/29/2025
41,309,TYPSU87L,1,Payment,9251,2/22/2025
42,376,NTA5E1Y7,1.1,Transfer,6890,12/25/2025
43,18,32Z0KOAI,1.2,Transfer,1232,7/15/2025
44,361,S78T0WYP,1.1,Transfer,14653,6/20/2025
45,870,YMZXNJCF,1.1,Deposit,8944,10/29/2025
46,16,YH9AGJ5T,2,Payment,14893,4/4/2025
