MobileTransID,CustomerID,DeviceID,AppVersion,TransactionType,Amount,Date
1,572,EJ75BSNK,1,Transfer,2387,12/13/2025
2,793,J8ZIXFG3,1,Deposit,17077,8/24/2025
3,957,SWTCX2UM,1.2,Transfer,9846,8/4/2025
4,916,970CJBLO,1.2,Deposit,329,6/2/2025
5,613,G6OX9WLR,2,Payment,8569,2/5/2025
6,408,US5WVQID,1.1,Transfer,17714,1/22/2025
7,653,XS1LFBN6,1.1,Transfer,11821,3/19/2025
8,91,FMHROIPV,1.2,Deposit,11469,8/26/2025
9,556,CP5OQUS1,1.1,Transfer,5530,9/1/2025
10,983,J7ECKXM2,1.2,Deposit,2930,6/27/2025
11,123,TKHEBQN1,1.1,Deposit,15223,6/27/2025
12,151,A9QGRW7S,1,Payment,18899,2/17/2025
13,618,JB409SPN,1.2,Transfer,7728,5/8/2025
14,75,N16D3O45,1.1,Deposit,18662,5/27/2025
15,26,C8TO7SA4,2,Deposit,15428,10/3/2025
16,793,LHI8DK7Q,2,Deposit,1508,1/23/2025
17,568,2YR5AEXZ,1.1,Deposit,1510,6/1/2025
18,561,OUNALZ5P,2,Payment,10982,2/26/2025
19,733,B6H1RY2K,2,Payment,3817,2/22/2025
20,703,T5KWDB4R,2,Payment,6041,4/3/2025
21,126,3FPSZ9KO,1.1,Transfer,663,3/15/2025
22,534,ZXQB5HMF,2,Transfer,5419,10/25/2025
23,194,SZE2MIRD,1,Payment,7647,8/16/2025
24,541,1PBEIRK4,1,Payment,16913,6/11/2025
25,695,S1O6XJUA,2,Deposit,13040,11/10/2025
26,807,ZMND2HKQ,1.1,Deposit,7787,9/22/2025
27,20,QJAK1V5S,1.1,Transfer,14261,4/4/2025
28,52,MR1UKS3J,1.2,Payment,16669,4/8/2025
29,630,S83Q5FJO,1,Transfer,3999,4/4/2025
30,773,2V5PQRNC,2,Payment,17769,6/4/2025
31,718,7NA2WLGS,2,Deposit,3038,12/28/2025
32,710,8AWFM720,1.2,Deposit,13141,7/5/2025
33,876,7YXHK6OE,1,Transfer,18788,5/7/2025
34,743,B9Z1DAGN,1.1,Transfer,9863,4/6/2025
35,112,WFJVI8HR,1.2,Transfer,19945,3/8/2025
36,999,KHW6PEM2,2,Transfer,8277,2/9/2025
37,63,8LB5640Y,2,Deposit,13107,5/17/2025
38,103,XS2L5GFN,2,Transfer,14818,1/2/2025
39,985,G7PEJSXI,1,Payment,15934,9/12/2025
40,748,HQCSDZPT,1,Transfer,18964,6/3/2025
41,115,O6B8G4JZ,2,Deposit,7652,11/24/2025
42,436,QZ0LSG9K,1.2,Transfer,11418,8/13/2025
43,764,UCT5SB14,1.1,Deposit,6033,1/29/2025
44,993,TUJW5D12,2,Deposit,6583,2/18/2025
45,578,Q46PCH7T,1.1,Transfer,4408,8/28/2025
46,230,1562GVHE,1.1,Payment,1842,5/9/2025
47,800,1NCLZ9AV,1,Deposit,2359,9/27/2025
48,3,YS1DE8G2,1.1,Transfer,10160,1/5/2025
49,582,AWOHUG2R,1.1,Deposit,11454,2/4/2025
50,815,NOF0TE63,1,Deposit,387,12/28/2025
51,326,VI7WLCEA,2,Transfer,5812,12/13/2025
52,722,S2HL4BWT,1.2,Transfer,13780,11/28/2025
53,233,5VA4TOZX,2,Deposit,16103,5/12/2025
54,367,QYOM0JFB,1,Payment,4959,5/8/2025
55,398,BZMNCWI6,1,Payment,9898,5/5/2025
56,837,CDT0NAL4,2,Payment,9577,1/5/2025
57,310,2HSAEYG3,2,Payment,1057,10/26/2025
58,774,QVY4PKTF,1,Deposit,19641,9/20/2025
59,426,I15SHLGM,1.1,Payment,15677,1/8/2025
60,284,5GIWUSBQ,2,Payment,10413,1/21/2025
61,89,3520EUYA,1.2,Payment,4925,6/11/2025
62,22,O8HGY7MV,1.1,Transfer,4484,6/14/2025
63,872,91WRIXUK,1.2,Deposit,5477,1/3/2025
64,429,T9XOCQ6V,2,Payment,2999,4/14/2025
65,551,EZG7R391,1.2,Deposit,16266,4/24/2025
66,31,ID7LFTV5,1,Transfer,12953,2/6/2025
67,487,0CEG86UH,1,Payment,16651,2/18/2025
68,656,VFCG8WL0,2,Payment,1862,10/24/2025
69,210,872FUZHK,1,Deposit,13863,3/9/2025
70,127,4ZJXUFQW,1.1,Transfer,10407,9/13/2025
71,685,384AQKB0,1.1,Deposit,5559,5/30/2025
72,267,LXCM429E,1.2,Deposit,18743,12/8/2025
73,761,Y1QCWRDU,1.1,Transfer,15095,1/3/2025
74,702,NT21OVM8,2,Deposit,4765,5/15/2025
75,448,O53URDYT,1.1,Payment,743,10/13/2025
76,69,FNU0G892,2,Transfer,11817,5/29/2025
77,345,MSURCIY8,1.1,Transfer,8421,6/9/2025
78,468,18T5SHP2,1.2,Deposit,14775,2/26/2025
79,530,4WOL1M3E,2,Transfer,2444,1/24/2025
80,626,P3ZK1AIB,2,Payment,9752,11/9/2025
81,760,8FUB3XSK,1.2,Deposit,13611,11/22/2025
82,701,8FIB2RA9,1.1,Deposit,17009,1/20/2025
83,585,J9DEXVZM,1.1,Transfer,6359,1/17/2025
84,884,PQAT12VO,1,Payment,19486,8/31/2025
85,574,4IPCU720,2,Transfer,781,9/6/2025
86,329,6MNUORWY,2,Deposit,4325,5/16/2025
87,124,9E18OQMB,1.2,Deposit,3226,2/11/2025
88,277,H3Z0XA8D,1.1,Payment,2692,10/27/2025
89,944,MEYPCJ1R,2,Transfer,7141,8/7/2025
90,667,65NOKXDB,2,Deposit,18225,10/23/2025
91,757,R1YAEUQD,2,Transfer,18006,3/4/2025
92,73,W5M83PTA,1.1,Deposit,659,3/10/2025
93,194,JPVAOZGF,1.1,Deposit,17991,12/5/2025
94,242,5QCJ0PNE,1,Transfer,10564,11/23/2025
95,19,071W56XS,1.2,Deposit,13303,7/18/2025
96,222,T93RLDF4,1.1,Deposit,11490,5/31/2025
97,903,ZW02CVML,2,Transfer,1249,3/7/2025
98,439,DQMXRTH3,1.2,Deposit,15556,11/18/2025
99,630,O4H5FY02,1.1,Transfer,8582,8/3/2025
100,206,L5KQYUCE,1,Deposit,11985,10/12/2025
101,347,8PMHA3DQ,2,Deposit,3554,1/20/2025
102,572,KSJWBE1U,1.1,Transfer,14841,4/7/2025
103,130,WPTUXIFB,1.2,Payment,17673,12/25/2025
104,302,74MFCRTW,1.2,Transfer,5759,5/6/2025
105,742,9ROCWT1E,1.1,Transfer,3694,5/20/2025
106,948,SQA1DTIY,2,Deposit,1267,12/7/2025
107,31,OW2CPL8V,1,Deposit,15599,12/8/2025
108,925,2FAR0DL4,1,Transfer,7965,6/3/2025
109,535,ZB1J5R4H,2,Payment,6882,6/10/2025
110,535,NVDE82IP,2,Payment,12589,10/18/2025
111,12,52TCH43Z,1,Transfer,15075,9/18/2025
112,483,Q5HBNP4G,2,Deposit,19599,1/27/2025
113,298,WQ2HGUBK,2,Payment,7207,5/1/2025
114,1,M875CDFQ,1.2,Payment,15549,5/12/2025
115,711,4RY0PMUN,1.2,Payment,13210,8/16/2025
116,641,HZGNV837,2,Deposit,7400,7/22/2025
117,418,K1QCVIUO,1.1,Transfer,19010,3/26/2025
118,971,XTBE9Z6D,1.1,Payment,11796,6/28/2025
119,379,5J6TRX37,1,Transfer,12142,9/24/2025
120,287,624FYMUC,1.2,Deposit,3811,10/3/2025
121,926,349LBQYI,2,Deposit,11502,5/5/2025
122,604,1YFHW63R,1,Deposit,634,1/1/2025
123,266,6IKOCD3R,2,Payment,158,7/16/2025
124,836,1W9RO6NU,1.1,Payment,10345,10/24/2025
125,519,YJDI73FB,2,Deposit,1353,11/21/2025
126,104,M179A5KZ,1.2,Deposit,9126,12/22/2025
127,464,6MP9E80L,2,Transfer,4405,6/5/2025
128,351,2QE9VNK3,1.1,Transfer,14088,9/21/2025
129,237,QTOL10FW,1,Deposit,10047,6/18/2025
130,568,M9UXKROY,1.2,Payment,3911,10/3/2025
131,316,N50LRZGT,2,Payment,7663,4/11/2025
132,490,FPK67R9N,2,Deposit,12881,8/31/2025
133,373,THKYQ6WJ,1.1,Payment,6452,7/28/2025
134,338,G7OPT0NF,1,Payment,12257,12/25/2025
135,984,DPAGQ10X,1.1,Transfer,8982,4/29/2025
136,826,1YJ3DBUR,1.2,Payment,2776,9/19/2025
137,407,FMPZ0C6N,1.1,Deposit,15113,7/19/2025
138,133,MWLQ7INA,1.2,Payment,12198,1/1/2025
139,284,VSWL06IC,2,Deposit,2767,4/17/2025
140,106,1OXEVFNS,1.2,Transfer,19497,7/5/2025
141,313,81J4SEHY,1.1,Payment,10268,9/12/2025
142,244,5CJVPRWZ,1.1,Deposit,855,11/7/2025
143,260,YPKF3R14,1.2,Deposit,18204,5/22/2025
144,210,OSPCLEK5,2,Payment,5783,5/16/2025
145,495,CMSHPXQZ,2,Deposit,12233,5/30/2025
146,279,VIGN3FBE,1,Deposit,13656,1/13/2025
147,26,0DY23TLA,1,Deposit,19201,6/25/2025
148,749,RX920QU8,1.1,Payment,1451,6/11/2025
149,387,0GNTW3RF,1.2,Payment,11375,9/19/2025
150,925,C1S4HZ5B,1,Transfer,2231,7/29/2025
151,980,NKDFH0W1,1.1,Deposit,16865,10/23/2025
152,123,OQ952NU1,2,Deposit,18479,5/25/2025
153,925,3J42B5T7,1,Payment,5387,5/10/2025
154,588,0FGHPX3T,2,Deposit,8009,2/9/2025
155,157,YIKPAJCR,1.2,Transfer,4875,3/13/2025
156,578,2Z49X0AU,1.2,Payment,14282,4/4/2025
157,185,IS1N5CEP,1,Payment,10314,8/14/2025
158,42,6WV25S0E,1.1,Payment,2319,1/3/2025
159,430,EI4WLRMD,1.2,Deposit,19629,11/24/2025
160,422,2VMWRJ8T,1,Deposit,8412,1/26/2025
161,710,ZP52D6Y8,1.1,Payment,19912,6/20/2025
162,741,D1CNXAZE,2,Deposit,1940,5/30/2025
163,636,7NCO0UH9,1.1,Deposit,11862,4/26/2025
164,176,UO2R3QDC,1,Transfer,12534,7/25/2025
165,802,E9C1LDAO,1.1,Transfer,9257,10/19/2025
166,873,LA0SZB56,1.1,Payment,2169,8/20/2025
167,189,X7FO48DB,1.1,Deposit,9133,4/22/2025
168,656,017PHISA,1,Deposit,1277,8/21/2025
169,388,3V0FJ694,2,Transfer,15804,11/22/2025
170,162,H2X6MPA1,1,Deposit,11377,12/13/2025
171,779,6XGJS03I,1.2,Deposit,7133,8/31/2025
172,447,Y0JS2ZQK,1.1,Deposit,18773,8/20/2025
173,955,ZNSY1XQT,1.1,Deposit,18369,1/27/2025
174,66,Q0DXUN2W,1.2,Transfer,19996,3/6/2025
175,986,UKC7H8WT,2,Transfer,1961,10/16/2025
176,91,FQ4EPOVB,2,Transfer,18794,3/4/2025
177,740,A4QMNF6C,2,Deposit,10008,3/25/2025
178,794,WQCPH4OX,1.2,Deposit,17286,1/4/2025
179,101,PGQA1ZCR,2,Payment,6716,11/24/2025
180,200,UIOGQZ3R,1.1,Deposit,5293,11/28/2025
181,39,9MID2OWG,1.2,Payment,11382,9/16/2025
182,92,73C6YFNE,1.2,Transfer,7434,10/27/2025
183,980,6G18LQMW,1.1,Payment,19510,6/2/2025
184,518,376WOKZE,1.1,Payment,12122,6/22/2025
185,947,U8QJZRVY,1.2,Payment,11565,2/16/2025
